Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
110 m gát,M,1994,1,Csillag Levente Újpesti TE,Csillag Levente,Újpesti TE,13.9
110 m gát,M,1994,2,Bédi Tibor Csepel,Bédi Tibor,Csepel,13.93
110 m gát,M,1994,3,Sárközi Lajos Szolnoki MÁV MTE,Sárközi Lajos,Szolnoki MÁV MTE,14.42
110 m gát,M,1995,1,Csillag Levente Újpesti TE,Csillag Levente,Újpesti TE,14.07
110 m gát,M,1995,2,Tamásovics Zoltán ELTE-TK,Tamásovics Zoltán,ELTE-TK,14.24
110 m gát,M,1995,3,Munkácsi Sándor Újpesti TE,Munkácsi Sándor,Újpesti TE,14.37
110 m gát,M,1996,2,Magda Szilárd Újpesti TE,Magda Szilárd,Újpesti TE,14.08
110 m gát,M,1996,3,Zsombor Zsolt Bp. Honvéd,Zsombor Zsolt,Bp. Honvéd,14.2
110 m gát,M,1997,1,Csillag Levente Újpesti TE,Csillag Levente,Újpesti TE,13.66
110 m gát,M,1997,2,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,14.39
110 m gát,M,1997,3,Zsombor Zsolt Bp. Honvéd,Zsombor Zsolt,Bp. Honvéd,14.45
110 m gát,M,1998,1,Palágyi Gergely Vasas SC,Palágyi Gergely,Vasas SC,14.27
110 m gát,M,1998,2,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,14.52
110 m gát,M,1998,3,Kürtösi Zsolt Kaposvári Építők,Kürtösi Zsolt,Kaposvári Építők,14.56
110 m gát,M,1999,1,Csillag Levente Újpesti TE,Csillag Levente,Újpesti TE,13.8
110 m gát,M,1999,2,Kilvinger Attila Favorit AC,Kilvinger Attila,Favorit AC,13.9
110 m gát,M,1999,3,Palágyi Gergely Vasas-BBTE,Palágyi Gergely,Vasas-BBTE,14.09
110 m gát,M,2000,1,Csillag Levente Újpesti TE,Csillag Levente,Újpesti TE,13.58
110 m gát,M,2000,2,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,13.67
110 m gát,M,2000,3,Kovács György Zalaegerszegi AC,Kovács György,Zalaegerszegi AC,14.46
110 m gát,M,2001,1,Csillag Levente Szolnoki MÁV,Csillag Levente,Szolnoki MÁV,13.86
110 m gát,M,2001,2,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,13.9
110 m gát,M,2001,3,Palágyi Gergely Vasas-BBTE,Palágyi Gergely,Vasas-BBTE,13.91
110 m gát,M,2002,1,Csillag Levente Szolnoki MÁV,Csillag Levente,Szolnoki MÁV,13.8
110 m gát,M,2002,2,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,13.9
110 m gát,M,2002,3,Palágyi Gergely Zalaegerszegi AC,Palágyi Gergely,Zalaegerszegi AC,14.07
110 m gát,M,2003,1,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,13.95
110 m gát,M,2003,2,Csillag Levente Szolnoki MÁV,Csillag Levente,Szolnoki MÁV,14.01
110 m gát,M,2003,3,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,14.05
110 m gát,M,2004,1,Csillag Levente Szolnoki MÁV,Csillag Levente,Szolnoki MÁV,13.67
110 m gát,M,2004,2,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.71
110 m gát,M,2004,3,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,13.84
110 m gát,M,2005,1,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.65
110 m gát,M,2005,2,Palágyi Gergely Pécsi VSK,Palágyi Gergely,Pécsi VSK,13.89
110 m gát,M,2005,3,Kovács Balázs VEDAC,Kovács Balázs,VEDAC,13.97
110 m gát,M,2006,1,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.73
110 m gát,M,2006,2,Zsivoczky Attila DSC-SI,Zsivoczky Attila,DSC-SI,14.65
110 m gát,M,2006,3,Käfer Levente KSI,Käfer Levente,KSI,14.9
110 m gát,M,2007,1,Baji Balázs Békécsabai AC,Baji Balázs,Békécsabai AC,14.48
110 m gát,M,2007,2,Szabó Attila Debreceni SC,Szabó Attila,Debreceni SC,14.69
110 m gát,M,2007,3,Kasper István TFSE,Kasper István,TFSE,14.7
110 m gát,M,2008,1,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.75
110 m gát,M,2008,2,Palágyi Gergely Bp. Honvéd,Palágyi Gergely,Bp. Honvéd,14.05
110 m gát,M,2008,3,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,14.44
110 m gát,M,2009,1,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.58
110 m gát,M,2009,2,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,14.06
110 m gát,M,2009,3,Palágyi Gergely Bp. Honvéd,Palágyi Gergely,Bp. Honvéd,14.2
110 m gát,M,2010,1,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.43
110 m gát,M,2010,2,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.84
110 m gát,M,2010,3,Koroknai Tibor Debreceni SC-SI,Koroknai Tibor,Debreceni SC-SI,14.44
110 m gát,M,2011,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,14.22
110 m gát,M,2011,2,Gönczöl Máté VEDAC,Gönczöl Máté,VEDAC,14.39
110 m gát,M,2011,3,Koroknai Tibor Debreceni SC,Koroknai Tibor,Debreceni SC,14.53
110 m gát,M,2012,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.74
110 m gát,M,2012,2,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.78
110 m gát,M,2012,3,Gönczöl Máté VEDAC,Gönczöl Máté,VEDAC,14.51
110 m gát,M,2013,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.62
110 m gát,M,2013,2,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.82
110 m gát,M,2013,3,Propszt Norbert Bp. Honvéd,Propszt Norbert,Bp. Honvéd,14.83
110 m gát,M,2014,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.52
110 m gát,M,2014,2,Kiss Dániel Ikarus BSE,Kiss Dániel,Ikarus BSE,13.95
110 m gát,M,2014,3,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,14.18
110 m gát,M,2015,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.51
110 m gát,M,2015,2,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,14.04
110 m gát,M,2015,3,Propszt Norbert Bp. Honvéd,Propszt Norbert,Bp. Honvéd,14.86
110 m gát,M,2016,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.39
110 m gát,M,2016,2,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,13.78
110 m gát,M,2016,3,Gönczöl Máté VEDAC,Gönczöl Máté,VEDAC,14.62
110 m gát,M,2017,1,Baji Balázs Békéscsabai AC,Baji Balázs,Békéscsabai AC,13.29
110 m gát,M,2017,2,Tano Leonardo Ikarus BSE,Tano Leonardo,Ikarus BSE,15.03
110 m gát,M,2017,3,Rády Zoltán Dunakeszi VSE,Rády Zoltán,Dunakeszi VSE,15.05
110 m gát,M,2018,1,Baji Balázs Bp. Honvéd,Baji Balázs,Bp. Honvéd,13.39
110 m gát,M,2018,2,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,13.88
110 m gát,M,2018,3,Szeles Bálint Egri Sportiskola SE,Szeles Bálint,Egri Sportiskola SE,14.11
110 m gát,M,2019,1,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,13.41
110 m gát,M,2019,2,Szeles Bálint Egri Sportiskola SE,Szeles Bálint,Egri Sportiskola SE,13.91
110 m gát,M,2019,3,Eszes Dániel Dunakeszi VSE,Eszes Dániel,Dunakeszi VSE,14.01
110 m gát,M,2020,1,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,13.66
110 m gát,M,2020,2,Baji Balázs Bp. Honvéd,Baji Balázs,Bp. Honvéd,13.88
110 m gát,M,2020,3,Szeles Bálint Egri Sportiskola SE,Szeles Bálint,Egri Sportiskola SE,13.96
110 m gát,M,2021,1,Szűcs Valdó Zalaegerszegi AC,Szűcs Valdó,Zalaegerszegi AC,13.38
110 m gát,M,2021,2,Baji Balázs Bp. Honvéd,Baji Balázs,Bp. Honvéd,13.58
110 m gát,M,2021,3,Szeles Bálint Egri Sportiskola SE,Szeles Bálint,Egri Sportiskola SE,13.97
110 m gát,M,2022,1,Szeles Bálint Egri VSI,Szeles Bálint,Egri VSI,13.63
110 m gát,M,2022,2,Eszes Dániel VS Dunakeszi,Eszes Dániel,VS Dunakeszi,13.69
110 m gát,M,2022,3,Tano Leonardo Ikarus BSE,Tano Leonardo,Ikarus BSE,14.16
110 m gát,M,2023,1,Szeles Bálint Egri VSI,Szeles Bálint,Egri VSI,13.64
110 m gát,M,2023,2,Eszes Dániel VS Dunakeszi,Eszes Dániel,VS Dunakeszi,14.15
110 m gát,M,2023,3,Polyák Zoltán Ikarus BSE,Polyák Zoltán,Ikarus BSE,14.48
110 m gát,M,2024,1,Szeles Bálint Egri VSI,Szeles Bálint,Egri VSI,13.73
110 m gát,M,2024,2,Eszes Dániel VS Dunakeszi,Eszes Dániel,VS Dunakeszi,13.96
110 m gát,M,2024,3,Gálpál Zsombor Bp. Honvéd,Gálpál Zsombor,Bp. Honvéd,14.1
110 m gát,M,2025,1,Eszes Dániel VS Dunakeszi,Eszes Dániel,VS Dunakeszi,13.82
110 m gát,M,2025,2,Szeles Bálint Egri VSI,Szeles Bálint,Egri VSI,14.18
110 m gát,M,2025,3,Zemen Zalán Győri AC,Zemen Zalán,Győri AC,14.24
1500 m,M,1945,1,Garay Sándor Bp. Vasas,Garay Sándor,Bp. Vasas,247.8
1500 m,M,1945,2,Villási Károly Dunakeszi Magyarság SE,Villási Károly,Dunakeszi Magyarság SE,248.2
1500 m,M,1945,3,Híres László Újpesti TE,Híres László,Újpesti TE,250.0
1500 m,M,1946,1,Garay Sándor Bp. Vasas,Garay Sándor,Bp. Vasas,240.2
1500 m,M,1946,2,Baranyai János Pécsi VSK,Baranyai János,Pécsi VSK,241.2
1500 m,M,1946,3,Villási Károly Dunakeszi Magyarság SE,Villási Károly,Dunakeszi Magyarság SE,242.2
1500 m,M,1947,1,Garay Sándor Bp. Vasas,Garay Sándor,Bp. Vasas,233.0
1500 m,M,1947,2,Villási Károly Dunakeszi Magyarság SE,Villási Károly,Dunakeszi Magyarság SE,237.6
1500 m,M,1947,3,Almási József Bp. Vasas,Almási József,Bp. Vasas,240.8
1500 m,M,1948,1,Garay Sándor Bp. Vasas,Garay Sándor,Bp. Vasas,237.2
1500 m,M,1948,2,Híres László Újpesti TE,Híres László,Újpesti TE,239.0
1500 m,M,1948,3,Apró József Miskolci VSC,Apró József,Miskolci VSC,239.4
1500 m,M,1949,1,Garay Sándor Bp. Vasas,Garay Sándor,Bp. Vasas,241.8
1500 m,M,1949,2,Apró József Miskolci Lokomotív,Apró József,Miskolci Lokomotív,242.8
1500 m,M,1949,3,Gyergyói János Postás SE,Gyergyói János,Postás SE,243.2
1500 m,M,1950,1,Garay Sándor Bp. Vasas,Garay Sándor,Bp. Vasas,237.0
1500 m,M,1950,2,Apró József Miskolci Lokomotív,Apró József,Miskolci Lokomotív,237.8
1500 m,M,1950,3,Béres Ernő TF DISZ,Béres Ernő,TF DISZ,238.6
1500 m,M,1951,1,Béres Ernő Budapest,Béres Ernő,Budapest,232.0
1500 m,M,1951,2,Iharos Sándor Budapest,Iharos Sándor,Budapest,236.2
1500 m,M,1951,3,Apró József Borsod-Abaúj-Zemplén,Apró József,Borsod-Abaúj-Zemplén,238.0
1500 m,M,1952,1,Garay Sándor SZOT I.,Garay Sándor,SZOT I.,228.2
1500 m,M,1952,2,Béres Ernő Haladás SE,Béres Ernő,Haladás SE,230.8
1500 m,M,1952,3,Iharos Sándor Honvéd SE,Iharos Sándor,Honvéd SE,235.8
1500 m,M,1953,1,Iharos Sándor Budapest,Iharos Sándor,Budapest,228.8
1500 m,M,1953,2,Rózsavölgyi István Budapest,Rózsavölgyi István,Budapest,229.6
1500 m,M,1953,3,Kiss László Budapest,Kiss László,Budapest,230.2
1500 m,M,1954,1,Iharos Sándor Honvéd SE,Iharos Sándor,Honvéd SE,229.6
1500 m,M,1954,2,Tábori László Honvéd SE,Tábori László,Honvéd SE,229.6
1500 m,M,1954,3,Béres Ernő Vasas,Béres Ernő,Vasas,231.0
1500 m,M,1955,1,Tábori László Bp. Honvéd,Tábori László,Bp. Honvéd,223.0
1500 m,M,1955,2,Rózsavölgyi István Bp. Honvéd,Rózsavölgyi István,Bp. Honvéd,223.2
1500 m,M,1955,3,Béres Ernő Bp. Vasas,Béres Ernő,Bp. Vasas,224.4
1500 m,M,1956,1,Rózsavölgyi István Bp. Honvéd,Rózsavölgyi István,Bp. Honvéd,227.2
1500 m,M,1956,2,Czeglédi József Haladás,Czeglédi József,Haladás,228.6
1500 m,M,1956,3,Kovács Lajos Dózsa,Kovács Lajos,Dózsa,228.8
1500 m,M,1957,1,Rózsavölgyi István Bp. Honvéd,Rózsavölgyi István,Bp. Honvéd,227.9
1500 m,M,1957,2,Kovács Lajos Újpesti Dózsa,Kovács Lajos,Újpesti Dózsa,228.4
1500 m,M,1957,3,Béres Ernő BEAC,Béres Ernő,BEAC,229.5
1500 m,M,1958,1,Rózsavölgyi István Bp. Honvéd,Rózsavölgyi István,Bp. Honvéd,228.2
1500 m,M,1958,2,Kovács Lajos Újpesti Dózsa,Kovács Lajos,Újpesti Dózsa,229.6
1500 m,M,1958,3,Somkuti János MTK,Somkuti János,MTK,229.7
1500 m,M,1959,1,Rózsavölgyi István Bp. Honvéd,Rózsavölgyi István,Bp. Honvéd,218.9
1500 m,M,1959,2,Szekeres Béla MAFC,Szekeres Béla,MAFC,225.6
1500 m,M,1959,3,Kiss György Gy Dózsa,Kiss György,Gy Dózsa,227.6
1500 m,M,1960,1,Rózsavölgyi István Bp. Honvéd,Rózsavölgyi István,Bp. Honvéd,218.8
1500 m,M,1960,2,Kovács Lajos Újpesti Dózsa,Kovács Lajos,Újpesti Dózsa,221.5
1500 m,M,1960,3,Parsch Péter Vasas,Parsch Péter,Vasas,223.2
1500 m,M,1961,1,Szentgáli Lajos Újpesti Dózsa,Szentgáli Lajos,Újpesti Dózsa,224.1
1500 m,M,1961,2,Simon Attila Ferencvárosi TC,Simon Attila,Ferencvárosi TC,224.8
1500 m,M,1961,3,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,227.7
1500 m,M,1962,1,Parsch Péter Vasas,Parsch Péter,Vasas,224.5
1500 m,M,1962,2,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,225.6
1500 m,M,1962,3,Kovács Lajos Újpesti Dózsa,Kovács Lajos,Újpesti Dózsa,226.6
1500 m,M,1963,1,Parsch Péter Vasas,Parsch Péter,Vasas,226.5
1500 m,M,1963,2,Simon Attila Ferencvárosi TC,Simon Attila,Ferencvárosi TC,226.9
1500 m,M,1963,3,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,227.0
1500 m,M,1964,1,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,228.3
1500 m,M,1964,2,Pamuki József Újpesti Dózsa,Pamuki József,Újpesti Dózsa,230.0
1500 m,M,1964,3,Kiss István Bp. Honvéd,Kiss István,Bp. Honvéd,230.9
1500 m,M,1965,1,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,227.7
1500 m,M,1965,2,Kiss István Bp. Honvéd,Kiss István,Bp. Honvéd,228.5
1500 m,M,1966,1,Jóny István Bp. Honvéd,Jóny István,Bp. Honvéd,227.0
1500 m,M,1966,2,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,227.3
1500 m,M,1966,3,Kiss István Bp. Honvéd,Kiss István,Bp. Honvéd,229.9
1500 m,M,1967,1,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,225.6
1500 m,M,1967,2,Honti Róbert Pécsi VSK,Honti Róbert,Pécsi VSK,226.1
1500 m,M,1967,3,Magyar Károly Bp. Honvéd,Magyar Károly,Bp. Honvéd,227.0
1500 m,M,1968,1,Honti Róbert Pécsi VSK,Honti Róbert,Pécsi VSK,225.9
1500 m,M,1968,2,Török János Bp. Honvéd,Török János,Bp. Honvéd,226.7
1500 m,M,1968,3,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,227.5
1500 m,M,1969,1,Török János Bp. Honvéd,Török János,Bp. Honvéd,226.7
1500 m,M,1969,2,Kovács Géza Kaposvári Dózsa,Kovács Géza,Kaposvári Dózsa,227.0
1500 m,M,1969,3,Mohácsi Péter MTK,Mohácsi Péter,MTK,227.2
1500 m,M,1970,1,Mohácsi Péter MTK,Mohácsi Péter,MTK,229.3
1500 m,M,1970,2,Honti Róbert Pécsi VSK,Honti Róbert,Pécsi VSK,229.5
1500 m,M,1970,3,Török János Bp. Honvéd,Török János,Bp. Honvéd,229.8
1500 m,M,1971,1,Molnár György Bp. Vasas,Molnár György,Bp. Vasas,231.4
1500 m,M,1971,2,Orosházi Csaba Debreceni Építők,Orosházi Csaba,Debreceni Építők,231.5
1500 m,M,1971,3,Honti Róbert Pécsi VSK,Honti Róbert,Pécsi VSK,231.5
1500 m,M,1972,1,Molnár György Bp. Vasas,Molnár György,Bp. Vasas,225.9
1500 m,M,1972,2,Zemen János Újpesti Dózsa,Zemen János,Újpesti Dózsa,227.8
1500 m,M,1972,3,Honti Róbert Pécsi VSK,Honti Róbert,Pécsi VSK,228.0
1500 m,M,1973,1,Török János Bp. Honvéd,Török János,Bp. Honvéd,228.8
1500 m,M,1973,2,Molnár György Bp. Vasas,Molnár György,Bp. Vasas,228.9
1500 m,M,1973,3,Rábold Gusztáv Bp. Spartacus,Rábold Gusztáv,Bp. Spartacus,229.0
1500 m,M,1974,1,Zemen János Újpesti Dózsa,Zemen János,Újpesti Dózsa,225.0
1500 m,M,1974,2,Rábold Gusztáv Bp. Spartacus,Rábold Gusztáv,Bp. Spartacus,225.9
1500 m,M,1974,3,Szántó Tamás Újpesti Dózsa,Szántó Tamás,Újpesti Dózsa,227.4
1500 m,M,1975,1,Zemen János Újpesti Dózsa,Zemen János,Újpesti Dózsa,223.2
1500 m,M,1975,2,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,223.6
1500 m,M,1975,3,Szántó Tamás Újpesti Dózsa,Szántó Tamás,Újpesti Dózsa,223.7
1500 m,M,1976,1,Zemen János Újpesti Dózsa,Zemen János,Újpesti Dózsa,225.5
1500 m,M,1976,2,Hrenek János Ferencvárosi TC,Hrenek János,Ferencvárosi TC,226.2
1500 m,M,1976,3,Szántó Tamás Újpesti Dózsa,Szántó Tamás,Újpesti Dózsa,226.4
1500 m,M,1977,1,Zemen János Újpesti Dózsa,Zemen János,Újpesti Dózsa,219.7
1500 m,M,1977,2,Ötvös Imre Ferencvárosi TC,Ötvös Imre,Ferencvárosi TC,220.2
1500 m,M,1977,3,Hrenek János Ferencvárosi TC,Hrenek János,Ferencvárosi TC,220.8
1500 m,M,1978,1,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,235.4
1500 m,M,1978,2,Zsinka András Újpesti Dózsa,Zsinka András,Újpesti Dózsa,235.9
1500 m,M,1978,3,Szántó Tamás Debreceni MTE,Szántó Tamás,Debreceni MTE,236.1
1500 m,M,1979,1,Hrenek János Ferencvárosi TC,Hrenek János,Ferencvárosi TC,223.2
1500 m,M,1979,2,Laposa Ferenc Tatabányai Bányász,Laposa Ferenc,Tatabányai Bányász,223.7
1500 m,M,1979,3,Ötvös Imre Ferencvárosi TC,Ötvös Imre,Ferencvárosi TC,223.9
1500 m,M,1980,1,Lajkó István Bp. Honvéd,Lajkó István,Bp. Honvéd,220.5
1500 m,M,1980,2,Kispál László Komlói Bányász,Kispál László,Komlói Bányász,220.7
1500 m,M,1980,3,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,221.1
1500 m,M,1981,1,Deák Nagy Imre Ferencvárosi TC,Deák Nagy Imre,Ferencvárosi TC,221.08
1500 m,M,1981,2,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,221.61
1500 m,M,1981,3,Bereczki József Miskolci VSC,Bereczki József,Miskolci VSC,223.67
1500 m,M,1982,1,Sulyok Attila Bp. Spartacus,Sulyok Attila,Bp. Spartacus,219.88
1500 m,M,1982,2,Szvoboda János Ferencvárosi TC,Szvoboda János,Ferencvárosi TC,219.9
1500 m,M,1982,3,Ötvös Imre Újpesti Dózsa,Ötvös Imre,Újpesti Dózsa,220.13
1500 m,M,1983,1,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,219.98
1500 m,M,1983,2,Ötvös Imre Újpesti Dózsa,Ötvös Imre,Újpesti Dózsa,219.99
1500 m,M,1983,3,Szabó Tamás Pécsi MSC,Szabó Tamás,Pécsi MSC,220.22
1500 m,M,1984,1,Bucsuházy József SZEOL AK,Bucsuházy József,SZEOL AK,225.01
1500 m,M,1984,2,Markó Gábor Bp. Honvéd,Markó Gábor,Bp. Honvéd,225.22
1500 m,M,1984,3,Serfőző Sándor Diósgyőri VTK,Serfőző Sándor,Diósgyőri VTK,225.25
1500 m,M,1985,1,K. Szabó Gábor Bp. Honvéd,K. Szabó Gábor,Bp. Honvéd,221.82
1500 m,M,1985,2,Szabó Tamás Pécsi MSC,Szabó Tamás,Pécsi MSC,221.87
1500 m,M,1985,3,Sulyok Attila Bp. Spartacus,Sulyok Attila,Bp. Spartacus,223.24
1500 m,M,1986,1,K. Szabó Gábor Bp. Honvéd,K. Szabó Gábor,Bp. Honvéd,220.64
1500 m,M,1986,2,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,221.19
1500 m,M,1986,3,Knipl István Bp. Honvéd,Knipl István,Bp. Honvéd,221.53
1500 m,M,1987,1,Knipl István Bp. Honvéd,Knipl István,Bp. Honvéd,229.09
1500 m,M,1987,2,Bereczky József Diósgyőri VTK,Bereczki József,Diósgyőri VTK,229.23
1500 m,M,1987,3,Reichnach Ferenc Tatabányai Bányász,Reichnach Ferenc,Tatabányai Bányász,229.48
1500 m,M,1988,1,Banai Róbert Újpesti Dózsa,Banai Róbert,Újpesti Dózsa,223.48
1500 m,M,1988,2,Knipl István Bp. Honvéd,Knipl István,Bp. Honvéd,223.65
1500 m,M,1988,3,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,224.43
1500 m,M,1989,1,Banai Róbert Újpesti Dózsa,Banai Róbert,Újpesti Dózsa,223.26
1500 m,M,1989,2,Richnach Ferenc Tatabányai Bányász,Richnach Ferenc,Tatabányai Bányász,223.72
1500 m,M,1989,3,Tóth László Bp. Honvéd,Tóth László,Bp. Honvéd,224.19
1500 m,M,1990,1,Banai Róbert Újpesti Dózsa,Banai Róbert,Újpesti Dózsa,230.74
1500 m,M,1990,2,Bereczki József Diósgyőri VTK,Bereczki József,Diósgyőri VTK,230.98
1500 m,M,1990,3,Balázs Dénes Salgótarján,Balázs Dénes,Salgótarján,231.06
1500 m,M,1991,1,Banai Róbert Újpesti TE,Banai Róbert,Újpesti TE,233.67
1500 m,M,1991,2,Kazsimér Attila Diósgyőri VTK,Kazsimér Attila,Diósgyőri VTK,233.89
1500 m,M,1991,3,Reichnach Ferenc BVSC,Reichnach Ferenc,BVSC,233.95
1500 m,M,1992,1,Banai Róbert Újpesti TE,Banai Róbert,Újpesti TE,232.53
1500 m,M,1992,2,Kazsimér Attila Micro SC,Kazsimér Attila,Micro SC,232.89
1500 m,M,1992,3,Kollár Csaba Testvériség,Kollár Csaba,Testvériség,233.07
1500 m,M,1993,1,Banai Róbert Újpesti TE,Banai Róbert,Újpesti TE,232.02
1500 m,M,1993,2,Kollár Csaba Újpesti TE,Kollár Csaba,Újpesti TE,232.28
1500 m,M,1993,3,Tölgyesi Balázs Videoton,Tölgyesi Balázs,Videoton,232.42
1500 m,M,1994,1,Banai Róbert Újpesti TE,Banai Róbert,Újpesti TE,229.5
1500 m,M,1994,2,Babinyecz József Újpesti TE,Babinyecz József,Újpesti TE,229.84
1500 m,M,1994,3,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,230.51
1500 m,M,1995,1,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,225.85
1500 m,M,1995,2,Banai Róbert Újpesti TE,Banai Róbert,Újpesti TE,225.91
1500 m,M,1995,3,Szemán János VEDAC,Szemán János,VEDAC,227.07
1500 m,M,1996,1,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,220.25
1500 m,M,1996,2,Babinyecz József Bp. Honvéd,Babinyecz József,Bp. Honvéd,228.99
1500 m,M,1996,3,Povázsai László Bp. Spartacus,Povázsai László,Bp. Spartacus,229.6
1500 m,M,1997,1,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,226.39
1500 m,M,1997,2,Oláh Roland Alba Regia AK,Oláh Roland,Alba Regia AK,230.88
1500 m,M,1997,3,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,230.99
1500 m,M,1998,1,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,237.08
1500 m,M,1998,2,Oláh Roland Alba Regia AK,Oláh Roland,Alba Regia AK,240.64
1500 m,M,1998,3,Povázsay László Spartacus,Povázsai László,Spartacus,241.28
1500 m,M,1999,1,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,226.6
1500 m,M,1999,2,Babinyecz József Bp. Honvéd,Babinyecz József,Bp. Honvéd,227.59
1500 m,M,1999,3,Oláh Roland Alba Regia AK,Oláh Roland,Alba Regia AK,229.04
1500 m,M,2000,1,Tölgyesi Balázs Alba Regia AK,Tölgyesi Balázs,Alba Regia AK,228.46
1500 m,M,2000,2,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,232.31
1500 m,M,2000,3,Oláh Roland Alba Regia AK,Oláh Roland,Alba Regia AK,234.19
1500 m,M,2001,1,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,227.12
1500 m,M,2001,2,Oláh Roland Alba Regia AK,Oláh Roland,Alba Regia AK,228.79
1500 m,M,2001,3,Tóth Szilárd AC Szekszárd,Tóth Szilárd,AC Szekszárd,229.9
1500 m,M,2002,1,Horváth Béla Hunyadi DSE,Horváth Béla,Hunyadi DSE,236.65
1500 m,M,2002,2,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,238.2
1500 m,M,2002,3,Bodor Olivér Pécsi VSK,Bodor Olivér,Pécsi VSK,238.5
1500 m,M,2003,1,Bodor Olivér Pécsi VSK,Bodor Olivér,Pécsi VSK,228.12
1500 m,M,2003,2,Árpási Miklós Pécsi VSK,Árpási Miklós,Pécsi VSK,228.14
1500 m,M,2003,3,Kaltenecker Gábor AC Szekszárd,Kaltenecker Gábor,AC Szekszárd,230.53
1500 m,M,2004,1,Csillag Balázs AC Szekszárd,Csillag Balázs,AC Szekszárd,233.88
1500 m,M,2004,2,Kerékjártó István KSI,Kerékgyártó István,KSI,233.98
1500 m,M,2004,3,Némedi Zoltán MAC-Népstadion,Némedi Zoltán,MAC-Népstadion,236.55
1500 m,M,2005,1,Csaja Gábor KSI,Csaja Gábor,KSI,237.02
1500 m,M,2005,2,Havasi Zoltán Békéscsabai AC,Havasi Zoltán,Békéscsabai AC,237.75
