Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
10 000 m,M,1963,3,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,1771.6
10 000 m,M,1964,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1771.8
10 000 m,M,1964,2,Sütő József Vasas,Sütő József,Vasas,1774.6
10 000 m,M,1964,3,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,1782.8
10 000 m,M,1965,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1760.4
10 000 m,M,1965,2,Sütő József Bp. Vasas,Sütő József,Bp. Vasas,1768.2
10 000 m,M,1965,3,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,1772.8
10 000 m,M,1966,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1755.8
10 000 m,M,1966,2,Sütő József Bp. Vasas,Sütő József,Bp. Vasas,1759.8
10 000 m,M,1966,3,Szerényi János Bp. Vasas,Szerényi János,Bp. Vasas,1776.6
10 000 m,M,1967,1,Kiss György Győri Dózsa,Kiss György,Győri Dózsa,1726.8
10 000 m,M,1967,2,Mecser Lajos Salgótarjáni Bányász,Mecser Lajos,Salgótarjáni Bányász,1727.2
10 000 m,M,1967,3,Pintér János Bp. Spartacus,Pintér János,Bp. Spartacus,1727.4
10 000 m,M,1968,1,Szerényi János Bp. Vasas,Szerényi János,Bp. Vasas,1774.0
10 000 m,M,1968,2,Sütő József Bp. Vasas,Sütő József,Bp. Vasas,1782.0
10 000 m,M,1968,3,Szentiványi Gergely Bp. Vasas,Szentiványi Gergely,Bp. Vasas,1785.8
10 000 m,M,1969,1,Simon Dénes Bp. Spartacus,Simon Dénes,Bp. Spartacus,1757.4
10 000 m,M,1969,2,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1759.4
10 000 m,M,1969,3,Dudás István Komlói Bányász,Dudás István,Komlói Bányász,1760.6
